    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
 1671,        698878,          697219,            769,     18812,        9265,         95,     54256,       17008,        130,    1395285,       697219,        3783
 1672,        700200,          698540,            777,     21670,       10802,         99,     54178,       17043,        131,    1396956,       698540,        3709
 1673,        700676,          699015,            769,     20165,       10556,         96,     54220,       17054,        130,    1398628,       699015,        3784
 1674,        701292,          699630,            818,     19081,       10898,         96,     54346,       17057,        139,    1400301,       699630,        3741
 1675,        702640,          700977,            771,     20001,       10839,         99,     54376,       17067,        130,    1401975,       700977,        3826
 1676,        703853,          702189,            750,     19408,       11311,         97,     54413,       17072,        132,    1403650,       702189,        3747
 1677,        705049,          703384,            774,     19102,        9973,         96,     54479,       17076,        131,    1405326,       703384,        3750
 1678,        705133,          703467,            753,     20487,       11864,         99,     54414,       17097,        133,    1407003,       703467,        3755
 1679,        706390,          704723,            775,     20044,       10676,         98,     54497,       17112,        131,    1408681,       704723,        3721
 1680,        706732,          705064,            839,     18770,       10558,         96,     54565,       17118,        131,    1410360,       705064,        3757
 1681,        707682,          706013,            775,     18216,        9992,         97,     54570,       17133,        130,    1412040,       706013,        3765
 1682,        707946,          706276,            777,     18985,       11569,         97,     54658,       17142,        132,    1413721,       706276,        3800
 1683,        708051,          706380,            779,     19991,       12975,         99,     54691,       17146,        131,    1415403,       706380,        3768
 1684,        708528,          706856,            776,     19214,       11324,         98,     54676,       17160,        131,    1417086,       706856,        3863
 1685,        709075,          707402,            774,     18441,       11158,         96,     54660,       17156,        132,    1418770,       707402,        3770
 1686,        709957,          708283,            757,     19820,       12550,         98,     54702,       17195,        132,    1420455,       708283,        3784
 1687,        709994,          708319,            757,     20421,       12388,        100,     54743,       17193,        130,    1422141,       708319,        3804
 1688,        710048,          708372,            776,     20046,       12368,         99,     54782,       17206,        131,    1423828,       708372,        3899
 1689,        710349,          708672,            757,     19137,       11353,         97,     54831,       17213,        131,    1425516,       708672,        3811
 1690,        710823,          709145,            779,     18644,       11718,         97,     54867,       17211,        130,    1427205,       709145,        3805
