   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
 129,          4385,            4260,              6,       817,         506,          5,      2629,         801,         10,       8256,         4260,          23
 130,          4498,            4372,              6,       869,         426,          5,      2650,         815,         12,       8385,         4372,          24
 131,          4617,            4490,              6,      1045,         612,          5,      2679,         819,         11,       8515,         4490,          24
 132,          4729,            4601,              7,       945,         435,          5,      2704,         838,         11,       8646,         4601,          25
 133,          4836,            4707,              7,       879,         535,          5,      2741,         847,         13,       8778,         4707,          25
 134,          4861,            4731,              7,       960,         552,          5,      2763,         849,         18,       8911,         4731,          39
 135,          4942,            4811,              7,       910,         596,          5,      2803,         862,         11,       9045,         4811,          26
 136,          5034,            4902,              7,       915,         577,          5,      2841,         868,         13,       9180,         4902,          26
 137,          5153,            5020,              7,       969,         579,          5,      2878,         877,         12,       9316,         5020,          27
 138,          5229,            5095,              7,       894,         543,          5,      2897,         881,         11,       9453,         5095,          27
 139,          5242,            5107,              7,       976,         578,          5,      2920,         888,         12,       9591,         5107,          27
 140,          5270,            5134,              7,       937,         565,          4,      2947,         912,         12,       9730,         5134,          27
 141,          5352,            5215,              7,       918,         477,          5,      2979,         915,         12,       9870,         5215,          27
 142,          5368,            5230,              7,      1044,         688,          6,      3004,         923,         12,      10011,         5230,          28
 143,          5493,            5354,              7,      1059,         570,          5,      3040,         930,         11,      10153,         5354,          29
 144,          5603,            5463,              8,       945,         554,          5,      3079,         940,         13,      10296,         5463,          29
 145,          5657,            5516,              8,      1017,         584,          7,      3104,         949,         25,      10440,         5516,          30
 146,          5758,            5616,              8,      1006,         646,          5,      3141,         963,         13,      10585,         5616,          30
 147,          5882,            5739,              8,       954,         507,          5,      3171,         963,         13,      10731,         5739,          31
 148,          5954,            5810,              9,      1035,         611,          5,      3188,         980,         11,      10878,         5810,          31
 149,          6050,            5905,              9,       995,         663,          5,      3219,         990,         13,      11026,         5905,          30
 150,          6188,            6042,              9,      1103,         620,          5,      3238,         996,         12,      11175,         6042,          32
 151,          6262,            6115,              8,      1067,         614,          5,      3265,        1006,         14,      11325,         6115,          31
